Operadora (Operator);Satélite (Satellite);Código do Direito (Code);Posição Orbital (Orbital slot);Banda do satélite exercendo o direito (Satellite Band);Tipo de Direito (Type of landing right);Status;Data de lançamento (Launch date);Validade (Validity);Direito prorrogado (Landing right postponed);posicao_orb_docs_portal_decimal
SPACE EXPLORATION HOLDINGS, LLC;Sistema Starlink;SLK-KuKa;NGEO;Ka;Estrangeiro;operação comercial;23/05/2019;28/03/2027;NÃO;NGEO
SWARM TECHNOLOGIES, INC.;Sistema Swarm;SWM-VHF;NGEO;VHF/UHF;Estrangeiro;operação comercial;03/09/2020;07/09/2035;NÃO;NGEO
TELECOM ITÁLIA S.p.A.;Inmarsat 3 AOR East;-15,5L;15,5ºO;L;Estrangeiro;operação comercial;06/09/1996;26/07/2022;SIM;-15,5
TELECOM ITÁLIA S.p.A.;Inmarsat 3 AOR West;-54L;54ºO;L;Estrangeiro;operação comercial;04/06/1997;26/07/2022;SIM;-54
TELECOM ITÁLIA S.p.A.;INMARSAT-4 F3;-98L;98ºO;L;Estrangeiro;operação comercial;18/08/2008;16/09/2025;NÃO;-98
TELECOMUNICACOES BRASILEIRAS SA TELEBRAS;SGDC;-75Ka;75ºO;Ka;Brasileiro;operação comercial;04/05/2017;29/08/2029;NÃO;-75
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Estrela do Sul 2;-63Ku;63ºO;Ku (não planejada);Brasileiro;operação comercial;20/05/2011;23/12/2023;NÃO;-63
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Telstar 19 Vantage;-63Ka;63ºO;Ka;Brasileiro;operação comercial;22/07/2018;04/03/2031;NÃO;-63
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Telstar 19 Vantage;-63Ku30B;63ºO;Ku (AP30B);Brasileiro;operação comercial;22/07/2018;04/03/2031;NÃO;-63
TELESAT BRASIL CAPACIDADE DE SATÉLITES LTDA;Telstar 19 Vantage;-63Ku;63ºO;Ku (não planejada);Brasileiro;operação comercial;22/07/2018;23/12/2023;NÃO;-63
TELESAT CANADA;ANIK G1;-107,3CKuX_2;107,3ºO;C (não planejada);Estrangeiro;operação comercial;16/04/2013;31/03/2032;NÃO;-107,3
TELESAT CANADA;ANIK G1;-107,3CKuX_2;107,3ºO;Ku (não planejada);Estrangeiro;operação comercial;16/04/2013;31/03/2032;NÃO;-107,3
TELESAT CANADA;ANIK G1;-107,3CKuX_2;107,3ºO;X;Estrangeiro;operação comercial;16/04/2013;31/03/2032;NÃO;-107,3
TELESAT LEO INC;Sistema Telesat Lightspeed;TLS-Ka;NGEO;Ka;Estrangeiro;a ser lançado;a ser lançado;31/03/2036;NÃO;NGEO
"VIASAT INCORPORATED's";ViaSat-3 (89W);-89Ka;89ºO;Ka;Estrangeiro;a ser lançado;a ser lançado;22/10/2036;NÃO;-89
VIASAT SATELLITE HOLDINGS, LTD.;ViaSat-3 (79W);-79Ka;79ºO;Ka;Estrangeiro;a ser lançado;a ser lançado;16/06/2036;NÃO;-79
VIASAT SATELLITE HOLDINGS, LTD.;ViaSat-3 (89W);-89Ka;89ºO;Ka;Estrangeiro;a ser lançado;a ser lançado;22/10/2036;NÃO;-89
WORLDVU SATELLITES LIMITED;Sistema Oneweb;OWB-KuKa;NGEO;Ku (não planejada);Estrangeiro;pendente licença estação espacial;27/02/2019;18/07/2037;NÃO;NGEO
WORLDVU SATELLITES LIMITED;Sistema Oneweb;OWB-KuKa;NGEO;Ka;Estrangeiro;pendente licença estação espacial;27/02/2019;18/07/2037;NÃO;NGEO
WORLDVU SATELLITES LIMITED;Sistema Oneweb;OWB-KuKa;NGEO;Ku (AP30/30A);Estrangeiro;pendente licença estação espacial;27/02/2019;18/07/2037;NÃO;NGEO
WORLDVU SATELLITES LIMITED;Sistema Oneweb;OWB-KuKa;NGEO;Ku (AP30B);Estrangeiro;pendente licença estação espacial;27/02/2019;18/07/2037;NÃO;NGEO
